Từ vựng,Ý nghĩa
지하철,Tàu điện ngầm
버스,Xe buýt
교통카드,Thẻ giao thông
환승,Trung chuyển
식당,Nhà hàng
편의점,Cửa hàng tiện lợi
시장,Chợ
할인,Giảm giá
영수증,Hóa đơn
배달,Giao hàng
대학교,Đại học
전공,Chuyên ngành
과제,Bài tập
실습,Thực hành
도서관,Thư viện
기숙사,Ký túc xá
외국인등록증,Thẻ cư trú
월세,Tiền thuê nhà
보증금,Tiền đặt cọc
인사,Chào hỏi
약속,Hẹn
도움,Giúp đỡ
친구,Bạn bè
문화,Văn hóa
적응,Thích nghi
컴퓨터,Máy tính
단축키,Phím tắt
인터넷,Internet
휴대폰,Điện thoại
비밀번호,Mật khẩu
병원,Bệnh viện
약국,Hiệu thuốc
건강,Sức khỏe
날씨,Thời tiết
우산,Ô/Dù
옷차림,Trang phục
구두,Giày tây
운동화,Giày thể thao
백화점,Trung tâm thương mại
우체국,Bưu điện
은행,Ngân hàng
계좌,Tài khoản
송금,Chuyển tiền
편지,Thư
여행,Du lịch
지도,Bản đồ
사진,Ảnh
영화,Phim
음악,Âm nhạc
취미,Sở thích
